Year,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovak Republic,Slovenia,Spain,Sweden,United Kingdom
1980,6.3,6.7,44.637777777777785,37.93555555555555,13.5,2.502222222222222,11.3,4.982222222222223,11.6,13.1,5.4,24.9,9.3,18.3,21.8,6.882222222222222,0.0,6.3,2.7,0.0,9.4,5.9,1.5,3.4066666666666667,4.048888888888889,15.6,17.5,16.8
1981,6.8,7.6,44.637777777777785,37.93555555555555,10.7,2.502222222222222,11.7,4.982222222222223,12.0,13.3,6.3,24.5,4.5,20.2,19.5,6.882222222222222,0.0,8.1,11.6,6.8,21.2,21.2,2.2,3.4066666666666667,4.048888888888889,14.5,12.1,12.2
1982,5.4,8.7,2.8,37.93555555555555,6.4,2.502222222222222,10.1,4.982222222222223,9.3,12.0,5.3,21.1,7.0,17.2,16.5,6.882222222222222,0.0,9.4,5.8,5.9,34.22222222222222,22.7,16.9,3.4066666666666667,4.048888888888889,14.4,8.6,8.5
1983,3.3,7.7,2.8,37.93555555555555,5.0,2.502222222222222,6.8,4.982222222222223,8.4,9.5,3.3,20.2,6.4,10.4,14.7,6.882222222222222,0.0,8.7,-0.9,2.9,22.1,25.1,4.7,3.4066666666666667,4.048888888888889,12.2,8.9,5.2
1984,5.7,6.3,2.8,37.93555555555555,6.0,2.502222222222222,6.3,4.982222222222223,7.0,7.7,2.4,18.5,8.7,8.6,10.7,6.882222222222222,0.0,5.6,-0.4,3.4,34.22222222222222,29.3,-0.3,3.4066666666666667,4.048888888888889,11.3,8.0,4.4
1985,3.2,4.9,2.8,37.93555555555555,5.0,2.502222222222222,4.7,4.982222222222223,5.8,5.8,2.1,19.3,7.0,5.5,9.0,6.882222222222222,0.0,4.1,-0.2,2.3,15.1,19.3,-0.2,3.4066666666666667,4.048888888888889,8.8,7.4,5.2
1986,1.7,1.3,2.7,37.93555555555555,1.2,2.502222222222222,3.7,4.982222222222223,2.9,2.5,-0.1,23.0,5.3,3.0,5.8,6.882222222222222,0.0,0.3,2.0,0.0,17.8,11.7,0.7,3.4066666666666667,4.048888888888889,8.8,4.2,3.6
1987,1.4,1.6,2.7,37.93555555555555,2.7,2.502222222222222,4.0,4.982222222222223,4.1,3.3,0.2,16.4,8.7,3.2,4.7,6.882222222222222,0.0,-0.1,0.4,-1.0,25.2,9.4,1.1,3.4066666666666667,4.048888888888889,5.2,4.2,4.1
1988,1.9,1.2,2.5,37.93555555555555,3.4,2.502222222222222,4.5,4.982222222222223,5.1,2.7,1.3,13.5,15.8,2.2,5.1,6.882222222222222,0.0,1.4,0.9,0.5,60.2,9.6,2.6,3.4066666666666667,4.048888888888889,4.8,5.8,4.6
1989,2.2,3.1,6.4,37.93555555555555,3.8,2.502222222222222,4.8,4.982222222222223,6.6,6.6,2.8,13.7,16.9,4.0,6.2,6.882222222222222,0.0,3.4,0.9,1.1,34.22222222222222,12.6,0.9,3.4066666666666667,4.048888888888889,6.8,6.4,5.2
1990,2.8,3.5,23.9,37.93555555555555,4.5,2.502222222222222,2.6,4.982222222222223,5.0,0.3,2.7,20.4,29.0,3.4,6.4,6.882222222222222,0.0,3.7,3.0,2.5,34.22222222222222,13.4,32.94666666666666,3.4066666666666667,4.048888888888889,6.7,10.5,7.0
