Year,Austria,Belgium,Bulgaria,Republic of Cyprus,Czech Republic,Germany,Denmark,Euro area,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Sweden
1981,6.71666766232339,5.13919666132385,2.82093836829875,12.3888523083059,5.48472842,4.1752387882334,10.6939576076586,11.662889445927,12.3511924880062,5.874704492,11.6338064306176,11.6919724612365,11.5692629023131,21.6120316313388,3.12572269,8.775176065,17.4425495807087,18.7872260862511,4.227174689,7.18202430149813,5.093834246,7.78033949277928,6.39009241187789,9.570507947,17.6089211854322,42.074091915,3.974135039,3.741880501,8.76734217589706
1982,5.35528941725865,7.57041624863626,1.91647280459254,10.3526003696009,5.48472842,4.5810585318544,10.1445361919353,10.5819866498518,13.5823233971235,5.874704492,9.05179552940922,12.0947649780686,7.41877484088562,27.2127468038126,3.12572269,8.775176065,15.1821525205722,17.5409502379084,4.227174689,10.8113729301027,5.093834246,3.44169146691694,4.62365487596973,9.570507947,20.6903285723402,42.074091915,3.974135039,3.741880501,8.08460537192575
1983,3.472783369453,5.61285036609959,-0.645271729639873,5.04460410471562,5.48472842,2.80793853884778,7.3858405220416,7.50455930888116,11.8842454447262,5.874704492,8.19043070883762,9.65034494199786,5.12280953941455,20.6122133930466,3.12572269,8.775176065,10.7088806982695,15.0967390421266,4.227174689,6.81868790892469,5.093834246,-0.305484132358771,1.38907278691019,9.570507947,24.6052609652633,42.074091915,3.974135039,3.741880501,9.95406193555277
1984,4.94977340821654,5.43871724274632,2.73674849638195,8.18191973445197,5.48472842,1.98914634165675,5.9593906660545,6.72340032300077,10.864733440409,5.874704492,8.44239528234074,7.06752895253651,5.03004750192821,21.9184497357925,3.12572269,8.775176065,6.37927169346504,10.7618453102998,4.227174689,4.40749200116784,5.093834246,-0.176647557112787,2.30710842735873,9.570507947,24.6757210005623,42.074091915,3.974135039,3.741880501,7.63598204042555
1985,2.96299580426029,4.62774213948016,0.229177128441037,5.66770862761656,5.48472842,2.12472570836948,4.29095396373941,5.20145926011197,8.59547948982571,5.874704492,5.2165893358119,5.45375855690344,5.51169793393198,19.0259553993468,3.12572269,8.775176065,5.18632918441205,9.17464240026035,4.227174689,3.09248753290503,5.093834246,0.636513583747501,0.86588331045067,9.570507947,21.7345624619029,42.074091915,3.974135039,3.741880501,6.4045069653162
1986,2.95099701537751,2.7967811357781,1.34548961532433,4.15066893987617,5.48472842,2.99954311462282,2.31558594575361,4.45042252621894,10.8788168280312,5.874704492,4.75017611256172,5.05517163446163,4.33535597868099,18.8819985433348,3.12572269,8.775176065,6.54969630953592,7.48841788190988,4.227174689,-0.0837771552214548,5.093834246,3.51770589922245,0.211700367971517,9.570507947,20.4511288225897,42.074091915,3.974135039,3.741880501,6.32272310950526
1987,2.43694818761719,1.68411087935741,0.0638388002033707,3.86184870693562,5.48472842,1.27966355384072,4.75468874973275,2.75366544112054,5.94419802288706,5.874704492,4.28408406721748,2.45586098408704,5.4405491149796,15.2526787168612,3.12572269,8.775176065,2.19740851204196,6.00928278208094,4.227174689,0.0630386263660938,5.093834246,3.05146989815404,-1.04763450002928,9.570507947,10.0967847739566,42.074091915,3.974135039,3.741880501,4.72094923990313
1988,1.52685544235396,2.16898990310955,-5.38974383656904,3.19369265857632,5.48472842,1.69046127693917,3.94457902469824,3.19354699630276,5.93612636857472,5.874704492,7.683148334733,3.1934013340292,6.13317332745231,16.6798711374344,3.12572269,8.775176065,3.24631235724667,6.65040261914507,4.227174689,2.77642630547237,5.093834246,1.85956131883181,0.819638044875703,9.570507947,11.1653892011927,42.074091915,3.974135039,3.741880501,6.57120642555813
1989,2.96476055578965,4.79745736166764,6.72968413426919,4.75174392512687,5.48472842,2.87906682729412,4.96528514735091,4.77460064339726,6.89619417555912,5.874704492,6.5301393538038,3.28524754798478,7.93586214956308,14.4989727439914,3.12572269,8.775176065,5.52176590092688,6.1973879442466,4.227174689,4.02098262746891,5.093834246,2.14703837876493,1.34806850373008,9.570507947,10.5138047920231,42.074091915,3.974135039,3.741880501,7.924666829386
1990,2.99968060930622,2.81240371323102,26.188000659147,5.43312495060673,5.48472842,3.39664344990658,2.60244721924072,3.27384664392877,7.32625092001946,5.874704492,5.19540242701977,2.65716286284953,7.88621807339653,20.6905995833878,3.12572269,8.775176065,-0.729184240461521,8.91406346285557,4.227174689,2.51339456630137,5.093834246,3.15104983795096,1.55975130923443,9.570507947,13.1446522349531,42.074091915,3.974135039,3.741880501,9.47382068413938
